YEAR,LEVEL,REGION,SECTOR,GRADE,GENDER,S. ENROLLED, PANDEMIC ,STRANDS
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,F,"26,480",N,ABM
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,M,"1,884",N,HUMSS
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,M,"1,856",N,HUMSS
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,M,"6,932",N,HUMSS
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,M,"11,355",N,HUMSS
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,M,828,N,HUMSS
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,M,"1,141",N,HUMSS
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,M,"2,061",N,HUMSS
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,M,"2,773",N,HUMSS
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,M,"1,211",N,HUMSS
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,M,"1,683",N,HUMSS
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,M,"2,043",N,HUMSS
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,M,"2,810",N,HUMSS
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,M,"3,331",N,HUMSS
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,M,"1,238",N,HUMSS
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,M,"1,093",N,HUMSS
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,M,"2,109",N,HUMSS
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,M,"12,219",N,HUMSS
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,F,"2,299",N,HUMSS
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,F,"1,955",N,HUMSS
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,F,"9,352",N,HUMSS
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,F,"14,751",N,HUMSS
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,F,"1,025",N,HUMSS
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,F,"1,655",N,HUMSS
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,F,"3,482",N,HUMSS
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,F,"5,696",N,HUMSS
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,F,"1,848",N,HUMSS
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,F,"2,326",N,HUMSS
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,F,"2,991",N,HUMSS
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,F,"4,301",N,HUMSS
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,F,"4,340",N,HUMSS
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,F,"1,724",N,HUMSS
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,F,"1,257",N,HUMSS
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,F,"2,504",N,HUMSS
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,F,"16,220",N,HUMSS
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,M,"3,402",N,STEM
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,M,"2,244",N,STEM
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,M,"10,865",N,STEM
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,M,"18,222",N,STEM
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,M,992,N,STEM
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,M,"2,254",N,STEM
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,M,"4,285",N,STEM
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,M,"7,697",N,STEM
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,M,"1,474",N,STEM
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,M,"1,497",N,STEM
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,M,"2,803",N,STEM
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,M,"3,170",N,STEM
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,M,"2,105",N,STEM
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,M,841,N,STEM
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,M,608,N,STEM
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,M,"2,151",N,STEM
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,M,"20,816",N,STEM
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,F,"3,238",N,STEM
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,F,"2,606",N,STEM
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,F,"9,323",N,STEM
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,F,"15,355",N,STEM
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,F,979,N,STEM
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,F,"2,052",N,STEM
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,F,"5,094",N,STEM
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,F,"6,916",N,STEM
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,F,"1,445",N,STEM
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,F,"1,952",N,STEM
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,F,"2,823",N,STEM
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,F,"3,656",N,STEM
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,F,"2,454",N,STEM
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,F,959,N,STEM
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,F,"1,007",N,STEM
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,F,"2,392",N,STEM
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,F,"16,774",N,STEM
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,M,"2,076",N,GAS
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,M,"1,326",N,GAS
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,M,"6,204",N,GAS
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,M,"6,819",N,GAS
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,M,"1,203",N,GAS
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,M,"2,703",N,GAS
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,M,"2,055",N,GAS
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,M,"4,247",N,GAS
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,M,960,N,GAS
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,M,"1,307",N,GAS
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,M,"2,291",N,GAS
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,M,"1,812",N,GAS
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,M,"1,058",N,GAS
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,M,975,N,GAS
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,M,"1,159",N,GAS
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,M,384,N,GAS
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,M,"7,283",N,GAS
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,F,"1,778",N,GAS
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,F,"1,250",N,GAS
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,F,"5,759",N,GAS
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,F,"5,668",N,GAS
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,F,"1,181",N,GAS
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,F,"3,317",N,GAS
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,F,"1,891",N,GAS
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,F,"3,774",N,GAS
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,F,"1,080",N,GAS
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,F,"1,511",N,GAS
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,F,"2,334",N,GAS
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,F,"1,954",N,GAS
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,F,"1,170",N,GAS
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,F,902,N,GAS
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,F,"1,703",N,GAS
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,F,389,N,GAS
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,F,"7,337",N,GAS
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,M,289,N,MARITIME
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,M,202,N,MARITIME
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,M,350,N,MARITIME
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,M,333,N,MARITIME
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,M,471,N,MARITIME
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,M,294,N,MARITIME
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,M,"2,637",N,MARITIME
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,M,"1,441",N,MARITIME
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,M,0,N,MARITIME
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,M,12,N,MARITIME
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,M,563,N,MARITIME
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,M,202,N,MARITIME
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,M,28,N,MARITIME
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,M,145,N,MARITIME
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,M,0,N,MARITIME
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,M,0,N,MARITIME
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,M,488,N,MARITIME
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,F,15,N,MARITIME
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,F,8,N,MARITIME
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,F,16,N,MARITIME
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,F,12,N,MARITIME
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,F,48,N,MARITIME
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,F,12,N,MARITIME
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,F,49,N,MARITIME
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,F,71,N,MARITIME
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,F,0,N,MARITIME
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,F,0,N,MARITIME
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,F,18,N,MARITIME
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,F,22,N,MARITIME
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,F,1,N,MARITIME
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,F,3,N,MARITIME
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,F,0,N,MARITIME
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,F,0,N,MARITIME
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,F,23,N,MARITIME
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,M,"2,933",N,TVL
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,M,947,N,TVL
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,M,"14,204",N,TVL
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,M,"20,357",N,TVL
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,M,"1,704",N,TVL
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,M,"4,092",N,TVL
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,M,"4,105",N,TVL
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,M,"7,313",N,TVL
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,M,"2,122",N,TVL
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,M,"2,629",N,TVL
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,M,"3,580",N,TVL
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,M,"6,027",N,TVL
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,M,"4,095",N,TVL
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,M,"1,951",N,TVL
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,M,747,N,TVL
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,M,"1,520",N,TVL
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,M,"21,546",N,TVL
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,F,"2,034",N,TVL
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,F,635,N,TVL
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,F,"11,062",N,TVL
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,F,"16,428",N,TVL
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,F,"1,440",N,TVL
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,F,"3,077",N,TVL
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,F,"3,809",N,TVL
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,F,"5,756",N,TVL
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,F,"1,730",N,TVL
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,F,"2,128",N,TVL
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,F,"2,833",N,TVL
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,F,"4,423",N,TVL
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,F,"2,231",N,TVL
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,F,"1,530",N,TVL
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,F,755,N,TVL
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,F,"1,076",N,TVL
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,F,"17,515",N,TVL
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,M,0,N,SPORTS
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,M,9,N,SPORTS
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,M,80,N,SPORTS
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,M,116,N,SPORTS
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,M,0,N,SPORTS
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,M,37,N,SPORTS
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,M,4,N,SPORTS
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,M,0,N,SPORTS
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,M,0,N,SPORTS
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,M,0,N,SPORTS
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,M,1,N,SPORTS
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,M,0,N,SPORTS
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,M,29,N,SPORTS
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,M,0,N,SPORTS
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,M,0,N,SPORTS
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,M,24,N,SPORTS
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,M,333,N,SPORTS
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,F,0,N,SPORTS
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,F,5,N,SPORTS
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,F,33,N,SPORTS
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,F,49,N,SPORTS
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,F,0,N,SPORTS
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,F,22,N,SPORTS
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,F,2,N,SPORTS
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,F,0,N,SPORTS
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,F,0,N,SPORTS
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,F,0,N,SPORTS
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,F,0,N,SPORTS
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,F,0,N,SPORTS
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,F,14,N,SPORTS
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,F,0,N,SPORTS
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,F,0,N,SPORTS
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,F,13,N,SPORTS
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,F,167,N,SPORTS
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,M,3,N,ARTs & DESIGN
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,M,7,N,ARTs & DESIGN
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,M,128,N,ARTs & DESIGN
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,M,253,N,ARTs & DESIGN
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,M,0,N,ARTs & DESIGN
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,M,30,N,ARTs & DESIGN
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,M,157,N,ARTs & DESIGN
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,M,138,N,ARTs & DESIGN
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,M,0,N,ARTs & DESIGN
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,M,0,N,ARTs & DESIGN
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,M,22,N,ARTs & DESIGN
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,M,30,N,ARTs & DESIGN
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,M,6,N,ARTs & DESIGN
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,M,8,N,ARTs & DESIGN
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,M,0,N,ARTs & DESIGN
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,M,18,N,ARTs & DESIGN
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,M,664,N,ARTs & DESIGN
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,11,F,4,N,ARTs & DESIGN
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,11,F,12,N,ARTs & DESIGN
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,11,F,133,N,ARTs & DESIGN
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,11,F,367,N,ARTs & DESIGN
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,11,F,0,N,ARTs & DESIGN
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,11,F,37,N,ARTs & DESIGN
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,11,F,126,N,ARTs & DESIGN
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,11,F,200,N,ARTs & DESIGN
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,11,F,0,N,ARTs & DESIGN
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,11,F,2,N,ARTs & DESIGN
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,11,F,30,N,ARTs & DESIGN
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,11,F,39,N,ARTs & DESIGN
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,11,F,3,N,ARTs & DESIGN
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,11,F,10,N,ARTs & DESIGN
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,11,F,0,N,ARTs & DESIGN
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,11,F,30,N,ARTs & DESIGN
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,11,F,"1,185",N,ARTs & DESIGN
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,12,M,"1,130",N,ABM
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,12,M,846,N,ABM
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,12,M,"5,477",N,ABM
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,"8,813",N,ABM
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,373,N,ABM
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,12,M,976,N,ABM
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,12,M,"1,341",N,ABM
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,12,M,"1,696",N,ABM
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,545,N,ABM
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,526,N,ABM
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,"1,148",N,ABM
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,12,M,"1,519",N,ABM
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,980,N,ABM
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,12,M,523,N,ABM
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,236,N,ABM
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,628,N,ABM
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,12,M,"12,353",N,ABM
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,12,F,"3,116",N,ABM
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,"2,073",N,ABM
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,12,F,"12,608",N,ABM
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,"19,739",N,ABM
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,F,"1,115",N,ABM
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,12,F,"2,859",N,ABM
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,12,F,"4,521",N,ABM
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,12,F,"5,574",N,ABM
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,F,"1,358",N,ABM
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,F,"1,322",N,ABM
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,12,F,"3,026",N,ABM
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,12,F,"3,500",N,ABM
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,12,F,"2,507",N,ABM
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,12,F,"1,268",N,ABM
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,F,321,N,ABM
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,F,"1,576",N,ABM
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,12,F,"23,154",N,ABM
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,12,M,"1,078",N,HUMSS
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,12,M,"1,339",N,HUMSS
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,12,M,"4,397",N,HUMSS
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,"7,363",N,HUMSS
2018-2019,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,479,N,HUMSS
2018-2019,SHS, Region V - Bicol Region ,PRIVATE,12,M,710,N,HUMSS
2018-2019,SHS, Region VI - Western Visayas ,PRIVATE,12,M,"1,374",N,HUMSS
2018-2019,SHS, Region VII - Central Visayas ,PRIVATE,12,M,"1,465",N,HUMSS
2018-2019,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,726,N,HUMSS
2018-2019,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,887,N,HUMSS
2018-2019,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,"1,248",N,HUMSS
2018-2019,SHS, Region XI - Davao Region ,PRIVATE,12,M,"2,033",N,HUMSS
2018-2019,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,"2,050",N,HUMSS
2018-2019,SHS, CARAGA - CARAGA ,PRIVATE,12,M,878,N,HUMSS
2018-2019,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,658,N,HUMSS
2018-2019,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,"1,389",N,HUMSS
2018-2019,SHS, NCR - National Capital Region ,PRIVATE,12,M,"6,754",N,HUMSS
2018-2019,SHS, Region I - Ilocos Region ,PRIVATE,12,F,"1,562",N,HUMSS
2018-2019,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,"1,587",N,HUMSS
2018-2019,SHS, Region III - Central Luzon ,PRIVATE,12,F,"6,512",N,HUMSS
2018-2019,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,"10,685",N,HUMSS
