YEAR,LEVEL,REGION,SECTOR,GRADE,GENDER,S. ENROLLED, PANDEMIC ,STRANDS
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,10,M,"27,854 ",N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,10,M,"30,939 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,10,M,"28,283 ",N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,10,M,"20,536 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,10,M,"11,721 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,10,M,"10,207 ",N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,10,M,"74,145 ",N,
2018-2019,JHS,Region I - Ilocos Region,PUBLIC,7,F,"45,061 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PUBLIC,7,F,"31,631 ",N,
2018-2019,JHS,Region III - Central Luzon,PUBLIC,7,F,"96,174 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PUBLIC,7,F,"126,123 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PUBLIC,7,F,"33,257 ",N,
2018-2019,JHS,Region V - Bicol Region,PUBLIC,7,F,"71,858 ",N,
2018-2019,JHS,Region VI - Western Visayas,PUBLIC,7,F,"82,321 ",N,
2018-2019,JHS,Region VII - Central Visayas,PUBLIC,7,F,"80,093 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PUBLIC,7,F,"50,412 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PUBLIC,7,F,"45,123 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,7,F,"46,901 ",N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,7,F,"54,059 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,7,F,"47,918 ",N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,7,F,"28,993 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,7,F,"24,037 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,7,F,"13,945 ",N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,7,F,"94,417 ",N,
2018-2019,JHS,Region I - Ilocos Region,PUBLIC,8,F,"43,923 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PUBLIC,8,F,"29,030 ",N,
